StateAb,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyName,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,A,29670,0,A Ticket Votes,Liberal Democratic Party,5705,99,40,373,270,6487
ACT,A,29611,1,"DONNELLY, Matt",Liberal Democrats,778,16,10,42,38,884
ACT,A,29612,2,"HENNINGS, Cawley",Liberal Democrats,76,2,0,5,6,89
ACT,B,29669,0,B Ticket Votes,Secular Party of Australia,771,10,4,49,78,912
ACT,B,28933,1,"EDWARDS, David",Secular Party of Australia,359,4,2,19,26,410
ACT,B,28937,2,"MIHALJEVIC, Denis",Secular Party of Australia,48,1,2,4,1,56
ACT,C,29663,0,C Ticket Votes,Australian Labor Party,73455,1120,527,3509,3640,82251
ACT,C,28147,1,"GALLAGHER, Katy",Australian Labor Party,11942,143,64,730,619,13498
ACT,C,28149,2,"SMITH, David",Australian Labor Party,818,6,8,48,38,918
ACT,D,29672,0,D Ticket Votes,Rise Up Australia Party,1778,20,21,91,109,2019
ACT,D,29514,1,"O'CONNOR, Sandie",Rise Up Australia Party,390,3,3,16,24,436
ACT,D,29518,2,"WYATT, Jess",Rise Up Australia Party,55,0,1,4,8,68
ACT,E,29666,0,E Ticket Votes,Sustainable Australia,1692,17,10,79,114,1912
ACT,E,28468,1,"HAYDON, John",Sustainable Australia,566,6,6,20,47,645
ACT,E,28469,2,"TYE, Martin",Sustainable Australia,110,1,0,5,5,121
ACT,F,29667,0,F Ticket Votes,Liberal,68491,804,452,3622,4330,77699
ACT,F,28773,1,"SESELJA, Zed",Liberal,4629,53,26,239,286,5233
ACT,F,28782,2,"HIATT, Jane",Liberal,1482,12,11,76,102,1683
ACT,G,29664,0,G Ticket Votes,Animal Justice Party,3105,58,27,163,214,3567
ACT,G,28254,1,"FIELD, Deborah",Animal Justice Party,509,8,11,22,33,583
ACT,G,28256,2,"MONTAGNE, Jessica",Animal Justice Party,86,3,0,9,3,101
ACT,H,29665,0,H Ticket Votes,The Greens,26508,479,199,2038,1424,30648
ACT,H,28306,1,"HOBBS, Christina",The Greens,8663,90,50,579,394,9776
ACT,H,28308,2,"WAREHAM, Sue",The Greens,477,3,4,54,44,582
ACT,I,29668,0,I Ticket Votes,Christian Democratic Party (Fred Nile Group),2192,26,15,129,151,2513
ACT,I,28760,1,"KIM, David William",Christian Democratic Party (Fred Nile Group),441,6,3,21,27,498
ACT,I,28763,2,"TADROS, Elizabeth",Christian Democratic Party (Fred Nile Group),66,0,1,4,5,76
ACT,J,29671,0,J Ticket Votes,Australian Sex Party,7217,190,61,363,247,8078
ACT,J,29390,1,"BAILEY, Steven",Australian Sex Party,1514,22,14,61,55,1666
ACT,J,29391,2,"SWAN, Robbie",Australian Sex Party,315,5,2,13,17,352
ACT,UG,29520,1,"HAY, Michael Gerard",VOTEFLUX.ORG | Upgrade Democracy!,624,4,3,26,41,698
ACT,UG,28150,2,"HANSON, Anthony",Mature Australia,264,3,0,18,23,308
